,Hospital,Hotels,Ratings,KM Range,Room Count,Price USD,Price INR
162,"Kaya Skin Clinic, Mumbai",Ramada Plaza Palm Grove,5,2.0,120,120,9000
163,"Kaya Skin Clinic, Mumbai",Novotel Mumbai Juhu Beach,5,3.0,203,105,9000
164,"Jupiter Hospital, Mumbai",Ramada Plaza Palm Grove,5,32.0,115,120,9000
165,"Jupiter Hospital, Mumbai",Seasonal Tastes,5,20.0,270,106,8000
166,"Jaslok Hospital & Research Centre, Mumbai",The Leela Kempinski Mumbai,5,3.0,400,105,8000
167,"Jaslok Hospital & Research Centre, Mumbai",Novotel Mumbai Juhu Beach,5,3.0,209,120,9000
168,"BNH HCG Cancer Centre, Mumbai",The Classique Club,5,1.9,220,132,10000
169,"BNH HCG Cancer Centre, Mumbai",Hotel Alfa International,3,0.6,50,27,2000
170,"L V PRASAD EYE INSTITUTE, BHUBANESWAR",Collection O 50292 Soveet Residency Sishu Vihar,2,1.6,20,8,600
171,"L V PRASAD EYE INSTITUTE, BHUBANESWAR",FabExpress Royal Guest House,1,3.0,100,28,2100
172,Shanti Memorial Hospital Private Limited,PRAMOD CONVENTION CENTRE,3,3.0,60,70,5000
173,Shanti Memorial Hospital Private Limited,Shree Jagannath Inn,4,2.0,20,14,1040
174,BRLIFE Kalinga Hospital,Suryansh Hotels And Resorts,3,0.35,38,28,2000
175,BRLIFE Kalinga Hospital,Ashique Guest House,2,1.0,11,38,2700
176,Satguru Partap Singh Apollo Hospitals,Hotel Riyasat,4,0.2,80,40,3000
177,Satguru Partap Singh Apollo Hospitals,Chevron Klassik,3,1.5,120,33,2500
178,"Fortis Hospital, Mohali",Hotel Cama,4,3.0,20,53,4000
179,SHALBY LTD,OYO 24423 Hotel Royal,2,3.0,35,12,900
180,SHALBY LTD,OYO 14324 Hotel Towns Pride,1,1.0,40,8,600
181,Hartej Hospital Amritsar,MK HOTEL,5,1.0,100,66,5000
182,Hartej Hospital Amritsar,Hotel Best Western Merrion,4,2.0,100,62,4000
183,Parmar Hospital,Hotel City Heart Ropar Rupnagar,3,1.5,10,20,1400
184,Parmar Hospital,Hotel Sahil Palace,3,1.5,24,28,2000
185,Jain Nursing & Maternity Home,HEY DAY HOTEL,3,0.1,30,34,2500
186,Jain Nursing & Maternity Home,Hotel Olive Garden,3,1.5,15,27,2000
